id товара;осн. артикул;цена;наличие;статус;доп. артикул;штрихкод;ррц
1445;;0;0;;;;;
1841;;0;0;;;;;
1647;;0;0;;;;;
3986;;0;0;;;;;
982;;0;0;;;;;
3989;;0;0;;;;;
2144;;0;0;;;;;
2200;;1601;2;;;;;
3223;;0;0;;;;;
373;;0;0;;;;;
371;;1989;1;;;;;
4006;;268;1;;;;;
1199;;959;1;;;;;
1261;;2106;6;;;;;
701;;2888;2;;;;;
1395;;0;0;;;;;
4019;;0;0;;;;;
4021;;0;0;;;;;
1249;;1672;1;;;;;
2740;;728;2;;;;;
1350;;1881;1;;;;;
1493;;0;0;;;;;
452;;0;0;;;;;
1505;;0;0;;;;;
4040;;4129;2;;;;;
4027;;0;0;;;;;
4030;;0;0;;;;;
4072;;287;1;;;;;
4098;;4880;1;;;;;
1399;;0;0;;;;;
1765;;625;11;;;;;
308;;0;0;;;;;
309;;0;0;;;;;
314;;0;0;;;;;
1469;;2051;1;;;;;
718;;0;0;;;;;
719;;0;0;;;;;
1817;;0;0;;;;;
2149;;359;1;;;;;
2153;;352;1;;;;;
305;;7355;5;;;;;
2148;;197;2;;;;;
4138;;1357;1;;;;;
1487;;0;0;;;;;
2070;;77;1;;;;;
2072;;77;5;;;;;
2075;;77;2;;;;;
2071;;0;0;;;;;
2073;;0;0;;;;;
2076;;80;1;;;;;
2074;;0;0;;;;;
4158;;70;2;;;;;
4154;;77;1;;;;;
4156;;91;2;;;;;
4159;;77;2;;;;;
2150;;355;1;;;;;
2151;;0;0;;;;;
2152;;0;0;;;;;
4139;;324;1;;;;;
2154;;0;0;;;;;
2431;;161;8;;;;;
181;;2222;3;;;;;
1671;;0;0;;;;;
1519;;790;6;;;;;
4071;;8181;1;;;;;
4107;;0;0;;;;;
1943;;776;2;;;;;
1923;;0;0;;;;;
1921;;637;1;;;;;
1999;;675;1;;;;;
1917;;637;1;;;;;
1915;;637;1;;;;;
1931;;776;1;;;;;
1929;;0;0;;;;;
1975;;0;0;;;;;
1963;;651;2;;;;;
1957;;808;1;;;;;
1450;;5820;1;;;;;
2648;;0;0;;;;;
1905;;0;0;;;;;
3848;;841;2;;;;;
3489;;0;0;;;;;
1448;;0;0;;;;;
4079;;0;0;;;;;
1425;;2234;1;;;;;
1485;;0;0;;;;;
3339;;8042;2;;;;;
3794;;0;0;;;;;
3485;;0;0;;;;;
4164;;0;0;;;;;
3494;;0;0;;;;;
1922;;857;1;;;;;
1662;;637;3;;;;;
629;;0;0;;;;;
620;;2047;3;;;;;
3687;;0;0;;;;3998;
3662;;2547;2;;;;4918;
3661;;2331;1;;;;4292;
3714;;0;0;;;;5686;
3676;;0;0;;;;4558;
3670;;2335;1;;;;4508;
3673;;1891;1;;;;3600;
1867;;0;0;;;;;
4174;;2492;1;;;;;
4169;;183;8;;;;;
4167;;0;0;;;;;
4168;;0;0;;;;;
4195;;0;0;;;;;
3924;;0;0;;;;;
3923;;0;0;;;;;
3916;;0;0;;;;;
3920;;0;0;;;;;
3935;;0;0;;;;;
4239;;1155;1;;;;;
4213;;1143;2;;;;;
2340;;0;0;;;;;
4570;;732;3;;;;;
4616;;0;0;;;;;
2403;;0;0;;;;295;
2405;;0;0;;;;369;
4532;;0;0;;;;;
208;;3311;1;;;;;
4624;;688;2;;;;;
2885;;0;0;;;;;
1368;;1298;5;;;;;
2495;;0;0;;;;;
2364;;0;0;;;;;
1352;;0;0;;;;;
4451;;1075;1;;;;;
4298;;230;4;;;;;
2290;;623;10;;;;;
2268;;362;14;;;;;
2273;;496;18;;;;;
2281;;618;10;;;;;
2278;;573;6;;;;;
2270;;359;3;;;;;
4285;;364;9;;;;;
4286;;0;0;;;;;
2314;;0;0;;;;;
2315;;0;0;;;;;
1509;;399;8;;;;;
3357;;384;28;;;;;
3360;;313;7;;;;;
3354;;242;6;;;;;
3490;;0;0;;;;;
2406;;0;0;;;;310;
2396;;0;0;;;;513;
2389;;0;0;;;;513;
2395;;0;0;;;;558;
2394;;0;0;;;;196;
2388;;0;0;;;;171;
2398;;0;0;;;;558;
4311;;0;0;;;;171;
2393;;0;0;;;;513;
2392;;0;0;;;;171;
2397;;0;0;;;;195;
2385;;0;0;;;;513;
2384;;0;0;;;;171;
2390;;0;0;;;;196;
2391;;0;0;;;;558;
2387;;0;0;;;;558;
2386;;0;0;;;;196;
543;;0;0;;;;;
2432;;236;21;;;;;
2429;;236;13;;;;;
545;;248;2;;;;;
2433;;236;28;;;;;
2428;;236;4;;;;;
541;;0;0;;;;;
4346;;171;18;;;;;
540;;161;12;;;;;
544;;0;0;;;;;
2430;;236;28;;;;;
547;;0;0;;;;;
4347;;0;0;;;;;
4348;;0;0;;;;;
4352;;161;4;;;;;
1112;;1262;13;;;;;
4297;;0;0;;;;;
3488;;0;0;;;;;
2493;;0;0;;;;;
3486;;0;0;;;;;
2496;;0;0;;;;;
4367;;0;0;;;;;
2294;;512;3;;;;;
2492;;0;0;;;;;
2491;;0;0;;;;;
3487;;0;0;;;;;
2447;;0;0;;;;;
2451;;1052;3;;;;;
2444;;1244;3;;;;;
2442;;423;5;;;;;
2422;;0;0;;;;;
2427;;107;5;;;;;
2420;;0;0;;;;;
2421;;87;5;;;;;
2425;;107;2;;;;;
1462;;0;0;;;;;
2956;;0;0;;;;;
2157;;169;1;;;;;
2363;;0;0;;;;;
2358;;0;0;;;;;
2322;;0;0;;;;;
4447;;107;3;;;;;
2524;;0;0;;;;;
2523;;1426;3;;;;;
2522;;608;2;;;;;
2526;;0;0;;;;;
2527;;1123;1;;;;;
4450;;2379;2;;;;;
2925;;0;0;;;;;
2321;;0;0;;;;;
2345;;0;0;;;;;
2360;;0;0;;;;;
2494;;0;0;;;;;
4501;;1788;1;;;;;
4518;;2364;1;;;;;
4609;;1227;1;;;;;
4533;;221;4;;;;;
4543;;0;0;;;;;
4544;;0;0;;;;;
56;;0;0;;;;;
4529;;0;0;;;;;
4553;;0;0;;;;;
4560;;0;0;;;;;
4562;;0;0;;;;;
4558;;0;0;;;;;
4559;;0;0;;;;;
4563;;0;0;;;;;
2338;;0;0;;;;;
4629;;0;0;;;;;
4631;;0;0;;;;;
4632;;0;0;;;;;
4634;;0;0;;;;;
4633;;0;0;;;;;
340;;1300;8;;;;;
4646;;1461;4;;;;;
4655;;1574;2;;;;;
3237;;777;4;;;;;
4662;;58;4;;;;;
4670;;0;0;;;;;
5503;;422;1;;;;;
442;;2003;1;;;;;
6511;;1290;2;;;;;
4712;;0;0;;;;;
4721;;798;4;;;;;
6604;;0;0;;;;;
4998;;0;0;;;;;
5293;;3298;2;;;;;
4943;;1783;3;;;;;
2435;;1264;6;;;;;
2267;;0;0;;;;;
2265;;266;15;;;;;
2277;;420;9;;;;;
2280;;414;7;;;;;
2283;;573;16;;;;;
3359;;0;0;;;;;
4730;;0;0;;;;;
4733;;0;0;;;;;
4682;;0;0;;;;;
4729;;0;0;;;;;
4731;;4780;2;;;;;
4686;;0;0;;;;;
4680;;3036;2;;;;;
4683;;0;0;;;;;
4684;;0;0;;;;;
4685;;4722;3;;;;;
4690;;0;0;;;;;
4691;;1533;1;;;;;
4732;;0;0;;;;;
4772;;0;0;;;;;
5814;;0;0;;;;;
3337;;0;0;;;;;
4571;;447;1;;;;;
4578;;266;1;;;;;
4579;;212;2;;;;;
4603;;0;0;;;;;
4762;;4137;1;;;;;
4767;;0;0;;;;;
4740;;1199;2;;;;;
4748;;2441;1;;;;;
4749;;891;9;;;;;
4758;;696;4;;;;;
2436;;2419;3;;;;;
4875;;0;0;;;;;
195;;2804;2;;;;;
416;;4521;4;;;;;
4936;;0;0;;;;;
5195;;0;0;;;;;
322;;1588;2;;;;;
377;;0;0;;;;;
4752;;1049;9;;;;;
4786;;7721;1;;;;;
4789;;0;0;;;;;
4788;;0;0;;;;;
4799;;0;0;;;;;
4803;;1460;2;;;;;
4800;;1843;2;;;;;
6895;;0;0;;;;;
5031;;0;0;;;;;
5603;;0;0;;;;;
5602;;0;0;;;;;
5065;;0;0;;;;;
4805;;1868;1;;;;;
6889;;0;0;;;;;
4908;;0;0;;;;3778;
5772;;0;0;;;;;
4839;;783;7;;;;;
2446;;2059;1;;;;;
5249;;3190;10;;;;;
4819;;0;0;;;;;
4818;;0;0;;;;;
2529;;1278;11;;;;;
5554;;0;0;;;;;
5861;;0;0;;;;;
2440;;2024;1;;;;;
2452;;2031;9;;;;;
2437;;1973;2;;;;;
2439;;1281;4;;;;;
4874;;0;0;;;;;
4880;;0;0;;;;;
4871;;1304;19;;;;;
3927;;0;0;;;;;
4873;;0;0;;;;;
4872;;0;0;;;;;
4884;;0;0;;;;;
4885;;0;0;;;;;
4883;;0;0;;;;;
4877;;0;0;;;;;
4876;;0;0;;;;;
4878;;0;0;;;;;
4882;;0;0;;;;;
4881;;0;0;;;;;
4879;;0;0;;;;;
4999;;0;0;;;;;
4891;;0;0;;;;;
4890;;4389;6;;;;;
6322;;0;0;;;;;
4865;;0;0;;;;;
4897;;2858;2;;;;;
5343;;0;0;;;;;
411;;5601;1;;;;;
6729;;194;10;;;;;
5179;;4152;8;;;;;
6505;;1247;1;;;;;
4977;;798;3;;;;;
4919;;0;0;;;;;
5813;;0;0;;;;;
3257;;0;0;;;;;
6509;;1075;2;;;;;
5604;;0;0;;;;;
4924;;1400;1;;;;;
5810;;0;0;;;;;
4923;;0;0;;;;;
70;;0;0;;;;;
443;;9424;8;;;;;
6586;;1252;1;;;;;
5773;;1345;1;;;;;
5613;;118;2;;;;;
4961;;1421;7;;;;;
2630;;2454;3;;;;;
1855;;814;1;;;;;
5667;;0;0;;;;;
4944;;3237;1;;;;;
5806;;0;0;;;;;
5019;;8454;1;;;;;
728;;1615;4;;;;;
6227;;0;0;;;;;
3332;;0;0;;;;;
441;;0;0;;;;;
5605;;0;0;;;;;
306;;11924;2;;;;;
5654;;0;0;;;;;
5235;;0;0;;;;;
6556;;0;0;;;;;
1951;;0;0;;;;;
1985;;1168;1;;;;;
6507;;1279;3;;;;;
205;;1461;5;;;;;
713;;7539;1;;;;;
5042;;0;0;;;;;
5385;;8522;4;;;;;
5504;;320;2;;;;;
5227;;8937;2;;;;;
5508;;0;0;;;;;
6785;;755;4;;;;;
6564;;0;0;;;;;
5244;;0;0;;;;;
138;;1257;3;;;;;
5393;;1642;2;;;;;
5395;;970;1;;;;;
5398;;1290;5;;;;;
5510;;0;0;;;;;
6233;;77;5;;;;;
5511;;0;0;;;;;
5502;;385;4;;;;;
2303;;37;49;;;;;
5501;;0;0;;;;;
2049;;0;0;;;;;
5509;;0;0;;;;;
5040;;0;0;;;;;
5606;;0;0;;;;;
5612;;118;2;;;;;
5611;;118;3;;;;;
5058;;0;0;;;;;
6553;;0;0;;;;;
5655;;1891;1;;;;3600;
5663;;0;0;;;;;
5298;;0;0;;;;;
5668;;0;0;;;;;
5669;;0;0;;;;;
5670;;0;0;;;;;
5671;;0;0;;;;;
5697;;697;1;;;;;
5698;;0;0;;;;;
5696;;1068;1;;;;;
5220;;0;0;;;;;
2163;;0;0;;;;;
5136;;10825;1;;;;;
5809;;0;0;;;;;
5068;;0;0;;;;;
3267;;2106;1;;;;;
5050;;1793;10;;;;;
5108;;0;0;;;;;
5111;;6395;1;;;;;
5252;;0;0;;;;;
2717;;10121;1;;;;;
5041;;928;4;;;;;
5197;;0;0;;;;;
5262;;4152;1;;;;;
5163;;0;0;;;;;
5219;;0;0;;;;;
5356;;0;0;;;;;
